"New Village CDP, New Jersey",2018,159,110,69.2,182,62,34.1,170,48,28.2,0,74,21,28.4,6,8.1,96,34.7,135,84.9
"Newark city, New Jersey",2018,96888,59100,61,108130,60124,55.6,113519,56937,50.2,4358,75397,15195,20.2,19039,25.3,64213,35.6,79528,82.1
"Newfield borough, New Jersey",2018,577,415,71.9,591,184,31.1,701,182,26,4,407,68,16.7,79,19.4,418,36.5,528,91.5
"Newton town, New Jersey",2018,3281,1740,53,3549,1701,47.9,3441,1070,31.1,123,1585,523,33,515,32.5,2005,34.3,2811,85.7
"North Arlington borough, New Jersey",2018,6248,4386,70.2,6583,2091,31.8,6696,1761,26.3,141,3303,657,19.9,884,26.8,3715,32.4,5526,88.4
"North Beach Haven CDP, New Jersey",2018,1161,619,53.3,906,141,15.6,1143,201,17.6,0,65,27,41.5,34,52.3,454,22.8,1011,87.1
"North Caldwell borough, New Jersey",2018,2385,1978,82.9,2396,427,17.8,2879,501,17.4,23,1772,550,31,224,12.6,418,9.1,2349,98.5
"North Cape May CDP, New Jersey",2018,1302,869,66.7,1261,347,27.5,1394,288,20.7,39,604,182,30.1,163,27,917,41.3,1198,92
"North Haledon borough, New Jersey",2018,3221,2538,78.8,3378,529,15.7,3774,593,15.7,36,1593,313,19.6,280,17.6,2032,30.9,2875,89.3
"North Middletown CDP, New Jersey",2018,1145,868,75.8,1338,604,45.1,1268,464,36.6,58,803,245,30.5,278,34.6,679,32.9,1038,90.7
"North Plainfield borough, New Jersey",2018,7424,4987,67.2,8833,3976,45,8809,3562,40.4,240,5222,1365,26.1,1350,25.9,4403,29.9,6827,92
"North Wildwood city, New Jersey",2018,1986,1153,58.1,1510,243,16.1,2049,472,23,43,410,227,55.4,109,26.6,1003,31.2,1786,89.9
"Northfield city, New Jersey",2018,2832,2088,73.7,3119,928,29.8,3660,1041,28.4,59,2254,580,25.7,398,17.7,1721,29.8,2672,94.4
"Northvale borough, New Jersey",2018,1730,1353,78.2,2031,708,34.9,1912,404,21.1,55,1289,257,19.9,308,23.9,765,21.8,1582,91.4
"Norwood borough, New Jersey",2018,2133,1576,73.9,2267,673,29.7,2595,514,19.8,59,1440,403,28,262,18.2,892,21,1940,91
"Oak Valley CDP, New Jersey",2018,1194,846,70.9,1408,609,43.3,1388,365,26.3,33,618,140,22.7,64,10.4,1305,53.1,1070,89.6
"Oakhurst CDP, New Jersey",2018,1301,1087,83.6,1386,299,21.6,1516,324,21.4,39,699,229,32.8,121,17.3,606,24.3,1182,90.9
"Oakland borough, New Jersey",2018,4311,3673,85.2,5118,1375,26.9,5373,1283,23.9,109,3562,984,27.6,711,20,2050,23.4,4189,97.2
"Oaklyn borough, New Jersey",2018,1669,999,59.9,1599,561,35.1,1770,556,31.4,18,908,181,19.9,342,37.7,890,29.6,1522,91.2
"Ocean Acres CDP, New Jersey",2018,5823,4684,80.4,6667,2083,31.2,6723,1666,24.8,256,4294,883,20.6,1091,25.4,3970,35.1,5553,95.4
"Ocean City city, New Jersey",2018,5262,3064,58.2,4435,1237,27.9,5201,1130,21.7,41,2195,531,24.2,505,23,2070,24.1,4569,86.8
"Ocean Gate borough, New Jersey",2018,748,416,55.6,668,259,38.8,799,263,32.9,6,325,69,21.2,68,20.9,544,44.4,697,93.2
"Ocean Grove CDP, New Jersey",2018,1967,686,34.9,1169,352,30.1,1898,673,35.5,15,239,56,23.4,132,55.2,424,14.6,1700,86.4
"Oceanport borough, New Jersey",2018,2118,1685,79.6,2337,717,30.7,2397,354,14.8,23,1201,266,22.1,235,19.6,965,23.1,1943,91.7
"Ogdensburg borough, New Jersey",2018,816,673,82.5,1036,417,40.3,901,200,22.2,24,534,145,27.2,104,19.5,689,41.5,754,92.4
"Old Bridge CDP, New Jersey",2018,7919,6306,79.6,9048,2853,31.5,10519,2955,28.1,203,5659,1279,22.6,1499,26.5,4449,26.2,7371,93.1
"Old Tappan borough, New Jersey",2018,2028,1721,84.9,2359,594,25.2,2466,552,22.4,46,1464,381,26,245,16.7,703,16.7,1962,96.7
"Olivet CDP, New Jersey",2018,527,421,79.9,554,136,24.5,683,150,22,11,307,55,17.9,101,32.9,262,24.8,474,89.9
"Oradell borough, New Jersey",2018,2719,2245,82.6,3174,873,27.5,3312,635,19.2,74,2172,511,23.5,303,14,872,15.6,2667,98.1
"Oxford CDP, New Jersey",2018,472,274,58.1,464,183,39.4,557,194,34.8,0,269,64,23.8,72,26.8,395,46.6,340,72
"Palisades Park borough, New Jersey",2018,7525,5493,73,9100,3388,37.2,8672,2304,26.6,166,3988,626,15.7,1431,35.9,4107,26.4,6676,88.7
"Palmyra borough, New Jersey",2018,2950,1819,61.7,2999,1234,41.1,3080,886,28.8,71,1460,280,19.2,355,24.3,1810,34.3,2695,91.4
"Panther Valley CDP, New Jersey",2018,1782,990,55.6,1469,300,20.4,1674,365,21.8,45,649,71,10.9,183,28.2,678,23.7,1730,97.1
"Paramus borough, New Jersey",2018,8310,6643,79.9,10931,3450,31.6,11691,2820,24.1,231,6257,1624,26,1575,25.2,4302,22.2,7594,91.4
"Park Ridge borough, New Jersey",2018,3299,2395,72.6,3741,1334,35.7,3642,649,17.8,68,2253,764,33.9,519,23,1062,17.1,3063,92.8
"Passaic city, New Jersey",2018,19646,14523,73.9,25916,12902,49.8,24988,11457,45.9,1136,21271,4175,19.6,3373,15.9,13803,33.9,14654,74.6
"Paterson city, New Jersey",2018,44748,32313,72.2,53766,27506,51.2,59201,27636,46.7,1593,39900,8790,22,8212,20.6,38135,41.8,34712,77.6
"Paulsboro borough, New Jersey",2018,2552,1445,56.6,2296,960,41.8,3021,1244,41.2,157,836,412,49.3,172,20.6,1841,43.2,2103,82.4
"Peapack and Gladstone borough, New Jersey",2018,839,682,81.3,905,292,32.3,1100,290,26.4,4,822,268,32.6,68,8.3,306,19.4,786,93.7
"Pedricktown CDP, New Jersey",2018,174,100,57.5,166,56,33.7,142,43,30.3,0,80,27,33.8,35,43.8,90,35.3,165,94.8
"Pemberton borough, New Jersey",2018,575,424,73.7,522,118,22.6,645,192,29.8,15,278,25,9,78,28.1,312,30.3,511,88.9
"Pemberton Heights CDP, New Jersey",2018,1148,644,56.1,1132,556,49.1,1073,431,40.2,28,494,110,22.3,166,33.6,671,40.4,997,86.8
"Pennington borough, New Jersey",2018,970,682,70.3,997,246,24.7,1058,190,18,10,668,135,20.2,136,20.4,196,11.2,842,86.8
"Penns Grove borough, New Jersey",2018,1820,1045,57.4,1926,999,51.9,1908,841,44.1,79,1357,422,31.1,200,14.7,992,32.8,1529,84
"Pennsville CDP, New Jersey",2018,4440,2868,64.6,4313,1262,29.3,4953,1256,25.4,92,2325,604,26,289,12.4,3551,43.3,3683,83
"Perth Amboy city, New Jersey",2018,15946,12109,75.9,19375,8878,45.8,20732,8301,40,777,14279,3118,21.8,2796,19.6,11547,35.9,13046,81.8
"Phillipsburg town, New Jersey",2018,5795,3623,62.5,5481,2071,37.8,6210,2222,35.8,224,3668,832,22.7,662,18,3673,37.6,4974,85.8
